code,pred_date,pred_return
000791.SZ,2025-12-30,-0.006271230522543192
000792.SZ,2025-12-30,-0.01584070362150669
000793.SZ,2025-12-30,-0.0012375712394714355
000795.SZ,2025-12-30,-0.010257516987621784
000796.SZ,2025-12-30,-0.028779733926057816
000797.SZ,2025-12-30,-0.003911224193871021
000798.SZ,2025-12-30,-0.008738892152905464
000799.SZ,2025-12-30,-0.015016489662230015
000800.SZ,2025-12-30,-0.0020136639941483736
000801.SZ,2025-12-30,-0.011539970524609089
000802.SZ,2025-12-30,0.005003603640943766
000803.SZ,2025-12-30,-0.016498113051056862
000807.SZ,2025-12-30,-0.0201935563236475
000809.SZ,2025-12-30,-0.03244088590145111
000810.SZ,2025-12-30,-0.00904317107051611
000811.SZ,2025-12-30,-0.022691259160637856
000812.SZ,2025-12-30,-0.01153283566236496
000813.SZ,2025-12-30,-0.0017351170536130667
000815.SZ,2025-12-30,-0.00041120691457763314
000816.SZ,2025-12-30,-0.024957742542028427
000818.SZ,2025-12-30,-0.00399645185098052
000819.SZ,2025-12-30,-0.02217511273920536
000820.SZ,2025-12-30,-0.006381261628121138
000821.SZ,2025-12-30,-0.0064557213336229324
000822.SZ,2025-12-30,-0.007062030956149101
000823.SZ,2025-12-30,-0.02196105569601059
000825.SZ,2025-12-30,-0.015092865563929081
000826.SZ,2025-12-30,-0.02026754431426525
000828.SZ,2025-12-30,-0.0024420591071248055
000829.SZ,2025-12-30,-0.014039519242942333
000830.SZ,2025-12-30,-0.01625160127878189
000831.SZ,2025-12-30,-0.02481798082590103
000833.SZ,2025-12-30,-0.0035349964164197445
000837.SZ,2025-12-30,-0.011190210469067097
000838.SZ,2025-12-30,-0.018016085028648376
000839.SZ,2025-12-30,-0.0031197001226246357
000848.SZ,2025-12-30,-0.0027091847732663155
000850.SZ,2025-12-30,-0.013673876412212849
000852.SZ,2025-12-30,-0.018974553793668747
000856.SZ,2025-12-30,-0.00847954023629427
000858.SZ,2025-12-30,-0.00367087684571743
000859.SZ,2025-12-30,-0.042605046182870865
000860.SZ,2025-12-30,-0.0028851875104010105
000862.SZ,2025-12-30,-0.00039405684219673276
000863.SZ,2025-12-30,-0.025190507993102074
000868.SZ,2025-12-30,-0.007726256735622883
000869.SZ,2025-12-30,-0.0022933250293135643
000875.SZ,2025-12-30,-0.014206495136022568
000876.SZ,2025-12-30,-0.004722765181213617
000877.SZ,2025-12-30,-0.006538483779877424
000878.SZ,2025-12-30,-0.02654208429157734
000880.SZ,2025-12-30,-0.02062053605914116
000881.SZ,2025-12-30,-0.013010356575250626
000882.SZ,2025-12-30,-0.007695384323596954
000883.SZ,2025-12-30,-0.0026538711972534657
000885.SZ,2025-12-30,-0.005475311074405909
000886.SZ,2025-12-30,-0.0012254747562110424
000887.SZ,2025-12-30,-0.020642908290028572
000888.SZ,2025-12-30,-0.006787089630961418
000889.SZ,2025-12-30,-0.023295246064662933
000890.SZ,2025-12-30,-0.02624792605638504
000892.SZ,2025-12-30,-0.004728890024125576
000893.SZ,2025-12-30,-0.017630981281399727
000895.SZ,2025-12-30,-0.0015304905828088522
000897.SZ,2025-12-30,-0.00835979264229536
000898.SZ,2025-12-30,-0.003528761677443981
000899.SZ,2025-12-30,-0.0067018261179327965
000900.SZ,2025-12-30,-0.003223869949579239
000901.SZ,2025-12-30,-0.026521818712353706
000902.SZ,2025-12-30,-0.00669477041810751
000903.SH,2025-12-30,-0.0077213747426867485
000903.SZ,2025-12-30,-0.003769209608435631
000905.SH,2025-12-30,-0.01069190539419651
000905.SZ,2025-12-30,-0.014932640828192234
000906.SZ,2025-12-30,-0.0041923606768250465
000908.SZ,2025-12-30,0.0004329512594267726
000909.SZ,2025-12-30,-0.005291027948260307
000910.SZ,2025-12-30,-0.005069640930742025
000911.SZ,2025-12-30,-0.005473793018609285
000912.SZ,2025-12-30,-0.0031432821415364742
000913.SZ,2025-12-30,-0.01120552234351635
000915.SZ,2025-12-30,-0.0031797275878489017
000917.SZ,2025-12-30,0.0011830105213448405
000919.SZ,2025-12-30,-0.005613100249320269
000920.SZ,2025-12-30,-0.006193619221448898
000921.SZ,2025-12-30,-0.008478248491883278
000922.SZ,2025-12-30,-0.011713598854839802
000923.SZ,2025-12-30,-0.02211650088429451
000925.SZ,2025-12-30,-0.013509657233953476
000926.SZ,2025-12-30,-0.004545873962342739
000927.SZ,2025-12-30,-0.00455340463668108
000928.SZ,2025-12-30,-0.011990301311016083
000929.SZ,2025-12-30,-0.0071953414008021355
000930.SZ,2025-12-30,-0.004469253122806549
000931.SZ,2025-12-30,-0.004436631686985493
000932.SZ,2025-12-30,-0.01231806818395853
000933.SZ,2025-12-30,-0.011437520384788513
000935.SZ,2025-12-30,-0.01670590415596962
000936.SZ,2025-12-30,-0.012446095235645771
000937.SZ,2025-12-30,-0.0010588504374027252
000938.SZ,2025-12-30,-0.012814202345907688
000948.SZ,2025-12-30,-0.004500479903072119
000949.SZ,2025-12-30,-0.00835060141980648
000950.SZ,2025-12-30,-0.016361108049750328
000951.SZ,2025-12-30,-0.001681614900007844
000952.SZ,2025-12-30,-0.02579241245985031
000953.SZ,2025-12-30,0.0015400955453515053
000955.SZ,2025-12-30,0.0018120999448001385
000957.SZ,2025-12-30,-0.009425025433301926
000958.SZ,2025-12-30,-0.0012831881176680326
000959.SZ,2025-12-30,-0.0058138929307460785
000960.SZ,2025-12-30,-0.019106239080429077
000962.SZ,2025-12-30,-0.030931556597352028
000963.SZ,2025-12-30,-0.007898048497736454
000965.SZ,2025-12-30,-0.013592727482318878
