code,pred_date,pred_return_FreTS,pred_return_PatchTST,pred_return_WPMixer,pred_return_iTransformer,rank_FreTS,rank_PatchTST,rank_WPMixer,rank_iTransformer,rank_sum,rank_sum_rank
002205.SZ,2025-12-30,0.00807864312082529,0.004514905624091625,0.0056593031622469425,-0.005280859302729368,148.0,204.0,210.0,790.0,1352.0,42.0
600993.SH,2025-12-30,0.005733203142881393,0.0036337245255708694,0.002446141792461276,-0.0004698944394476712,333.0,281.0,668.0,70.0,1352.0,42.0
603856.SH,2025-12-30,0.004183613695204258,0.003444461617618799,0.003433459671214223,-0.0007348935469053686,521.0,305.0,464.0,83.0,1373.0,44.0
603797.SH,2025-12-30,0.004547064658254385,0.0016241808189079165,0.004749596584588289,-0.00033176649594679475,464.0,580.0,289.0,59.0,1392.0,45.0
002514.SZ,2025-12-30,0.007115008309483528,0.0040785097517073154,0.005148393101990223,-0.004875394515693188,200.0,235.0,245.0,721.0,1401.0,46.0
002108.SZ,2025-12-30,0.013879525475203991,0.003869342152029276,0.006547327619045973,-0.006385482382029295,35.0,256.0,152.0,963.0,1406.0,47.0
603326.SH,2025-12-30,0.0018577822484076023,0.005332233849912882,0.006734546739608049,1.1801776054198854e-05,1069.0,155.0,142.0,55.0,1421.0,48.0
002431.SZ,2025-12-30,0.005217880010604858,0.003432733006775379,0.0038242260925471783,-0.002919953316450119,382.0,307.0,404.0,342.0,1435.0,49.0
600172.SH,2025-12-30,0.010731306858360767,0.003338373964652419,0.004283268470317125,-0.004752581939101219,70.0,323.0,343.0,699.0,1435.0,49.0
600785.SH,2025-12-30,0.0062713962979614735,0.002466324483975768,0.005512014962732792,-0.0038988105952739716,269.0,437.0,216.0,515.0,1437.0,51.0
002193.SZ,2025-12-30,0.012305054813623428,0.00505382614210248,0.0067533510737121105,-0.007083442993462086,49.0,165.0,139.0,1086.0,1439.0,52.0
600929.SH,2025-12-30,0.0073663718067109585,0.001972571713849902,0.0033462916035205126,-0.00230503361672163,186.0,524.0,483.0,248.0,1441.0,53.0
600149.SH,2025-12-30,0.004471655935049057,0.0037113565485924482,0.004420952871441841,-0.003051205538213253,474.0,275.0,325.0,368.0,1442.0,54.0
002813.SZ,2025-12-30,0.009900146164000034,0.007254329510033131,0.00710131274536252,-0.007689128629863262,88.0,85.0,122.0,1149.0,1444.0,55.0
002033.SZ,2025-12-30,0.009214146062731743,0.0019631811883300543,0.0028606264386326075,-0.002371815498918295,112.0,527.0,577.0,263.0,1479.0,56.0
603777.SH,2025-12-30,0.008952873758971691,0.0017285685753449798,0.002038512611761689,0.00025330582866445184,120.0,564.0,757.0,44.0,1485.0,57.0
000529.SZ,2025-12-30,0.00945642963051796,0.002468128688633442,0.0032508661970496178,-0.003758086822926998,100.0,436.0,498.0,490.0,1524.0,58.0
603679.SH,2025-12-30,0.007804323919117451,0.007220997475087643,0.006598189938813448,-0.0075302449986338615,161.0,88.0,150.0,1130.0,1529.0,59.0
002317.SZ,2025-12-30,0.006933719385415316,0.003410352161154151,0.005311863496899605,-0.005161828361451626,217.0,313.0,230.0,770.0,1530.0,60.0
000958.SZ,2025-12-30,0.004355574958026409,0.002497871173545718,0.0033469609916210175,-0.0012831881176680326,487.0,429.0,482.0,135.0,1533.0,61.0
000055.SZ,2025-12-30,0.004587961360812187,0.0023690571542829275,0.0038907595444470644,-0.0022218141239136457,462.0,452.0,391.0,236.0,1541.0,62.0
002977.SZ,2025-12-30,0.015411940403282642,0.006823816802352667,0.005315262358635664,-0.00789857842028141,26.0,102.0,229.0,1188.0,1545.0,63.0
002658.SZ,2025-12-30,0.004242698661983013,0.005596740171313286,0.00876348651945591,-0.005584775935858488,510.0,143.0,79.0,842.0,1574.0,64.0
600313.SH,2025-12-30,0.006814915686845779,0.004542013630270958,0.005064008291810751,-0.0059892479330301285,228.0,202.0,256.0,902.0,1588.0,65.0
002671.SZ,2025-12-30,0.005358898546546698,0.0035436772741377354,0.004764831159263849,-0.004496248438954353,368.0,290.0,288.0,643.0,1589.0,66.0
603995.SH,2025-12-30,0.006860541645437479,0.0013330491492524743,0.004425829276442528,-0.0031335046514868736,226.0,659.0,323.0,385.0,1593.0,67.0
002731.SZ,2025-12-30,0.009571045637130737,0.004104094114154577,0.0016124012181535363,-0.003213610965758562,97.0,234.0,869.0,400.0,1600.0,68.0
603712.SH,2025-12-30,0.008227740414440632,0.002070936607196927,0.002077188342809677,-0.002180504146963358,141.0,498.0,749.0,232.0,1620.0,69.0
000056.SZ,2025-12-30,0.02078116498887539,0.007827216759324074,0.006532714236527681,-0.009709248319268227,10.0,65.0,153.0,1396.0,1624.0,70.0
000978.SZ,2025-12-30,0.009504887275397778,0.0024317242205142975,0.0024260070640593767,-0.0033467444591224194,99.0,441.0,670.0,425.0,1635.0,71.0
603360.SH,2025-12-30,0.0012588892132043839,0.006783208344131708,0.004466493148356676,0.00983987096697092,1221.0,103.0,316.0,2.0,1642.0,72.0
002614.SZ,2025-12-30,0.0030757393687963486,0.004186790902167559,0.005505101755261421,-0.0036497418768703938,738.0,229.0,217.0,474.0,1658.0,73.0
600232.SH,2025-12-30,0.0041883341036736965,0.005878123454749584,0.0042798882350325584,-0.004691214766353369,520.0,133.0,344.0,685.0,1682.0,74.0
002593.SZ,2025-12-30,0.00975301768630743,0.00469350628554821,0.007660511415451765,-0.008904713205993176,93.0,187.0,106.0,1299.0,1685.0,75.0
